                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.95736,                0.89727,                  1.174,                0.85585,                0.64115,                0.72863,                0.42281,                 1.5305,                 1.0125,                 1.5814,             0.00051961,             0.00051961,             0.00051961
                     35,                0.96215,                0.89731,                 1.1748,                0.81675,                0.64559,                0.72283,                0.40594,                 1.5504,                 1.0521,                 1.5708,             0.00051372,             0.00051372,             0.00051372
                     36,                0.96276,                0.89773,                 1.1742,                0.81468,                0.66615,                  0.718,                0.40228,                  1.533,                 1.0459,                 1.6006,             0.00050783,             0.00050783,             0.00050783
                     37,                0.94887,                0.87657,                 1.1647,                0.83975,                0.65796,                0.72669,                0.40916,                 1.5527,                 1.0396,                  1.578,             0.00050194,             0.00050194,             0.00050194
                     38,                0.94724,                0.87058,                 1.1655,                0.84257,                0.68355,                0.74178,                0.42593,                 1.5081,                0.99739,                 1.5462,             0.00049605,             0.00049605,             0.00049605
                     39,                0.93501,                0.86015,                 1.1597,                0.85283,                0.64467,                0.72432,                0.40815,                  1.564,                 1.0046,                 1.6212,             0.00049016,             0.00049016,             0.00049016
                     40,                0.94226,                0.85794,                 1.1637,                0.84581,                 0.6758,                0.73921,                0.43304,                 1.4917,                0.97497,                 1.5404,             0.00048427,             0.00048427,             0.00048427
                     41,                0.93706,                0.85233,                  1.159,                0.86046,                0.63925,                 0.7325,                0.39786,                 1.6081,                 1.0396,                 1.6271,             0.00047838,             0.00047838,             0.00047838
                     42,                0.93715,                0.84542,                 1.1541,                 0.8197,                0.66066,                0.72929,                0.41577,                 1.5386,                 1.0039,                 1.6049,             0.00047249,             0.00047249,             0.00047249
                     43,                0.93225,                0.84206,                 1.1533,                0.83681,                0.65806,                0.73323,                0.42204,                 1.5262,                0.98359,                 1.5983,              0.0004666,              0.0004666,              0.0004666
                     44,                0.92995,                0.83705,                 1.1487,                0.83337,                 0.6576,                0.73875,                0.42257,                 1.5418,                 1.0103,                 1.5822,             0.00046071,             0.00046071,             0.00046071
                     45,                 0.9079,                0.82394,                  1.143,                0.82066,                 0.6732,                0.73407,                0.42063,                 1.5292,                 1.0069,                 1.5631,             0.00045482,             0.00045482,             0.00045482
                     46,                0.91623,                0.82046,                 1.1422,                0.84847,                0.62487,                0.71716,                0.42096,                 1.4989,                 1.0124,                 1.5567,             0.00044893,             0.00044893,             0.00044893
                     47,                0.91232,                0.81459,                 1.1386,                 0.8287,                0.67573,                0.74939,                0.43933,                 1.4638,                0.92837,                 1.5117,             0.00044304,             0.00044304,             0.00044304
                     48,                 0.9105,                0.80647,                 1.1371,                0.79479,                0.67042,                0.72907,                0.42396,                 1.5048,                0.99296,                 1.5855,             0.00043715,             0.00043715,             0.00043715
                     49,                 0.8948,                0.80995,                  1.136,                0.84416,                0.69488,                0.75842,                0.44218,                 1.4304,                0.90821,                 1.4813,             0.00043126,             0.00043126,             0.00043126
                     50,                0.90271,                0.80919,                 1.1365,                0.89745,                0.66887,                 0.7538,                0.44783,                 1.4335,                0.92279,                 1.5167,             0.00042537,             0.00042537,             0.00042537
                     51,                 0.9037,                0.79785,                 1.1342,                0.87865,                  0.645,                0.73775,                0.44002,                 1.4422,                0.93623,                 1.5082,             0.00041947,             0.00041947,             0.00041947
                     52,                0.89169,                0.79263,                  1.128,                0.83674,                0.65037,                0.72706,                0.43676,                 1.4466,                 0.9928,                 1.4965,             0.00041358,             0.00041358,             0.00041358
